Model,Index,Actual,Predicted
Random Forest,0,55120,55711.41
Random Forest,1,11426,11458.61
Random Forest,2,78705,78961.12
Random Forest,3,213236,219509.05
Random Forest,4,33950,33893.16
Random Forest,5,56950,56617.44
Random Forest,6,281177,280157.13
Random Forest,7,49999,50141.46
Random Forest,8,24531,25808.13
Random Forest,9,165349,163511.89
Random Forest,10,35251,37739.64
Random Forest,11,40555,37101.02
Random Forest,12,20742,22369.25
Random Forest,13,20872,21768.69
Random Forest,14,38020,37332.1
Random Forest,15,588702,591381.47
Random Forest,16,8099,7807.67
Random Forest,17,19492,19284.68
Random Forest,18,140090,138512.53
Random Forest,19,11849,12098.32
Random Forest,20,19538,19618.7
Random Forest,21,76804,75742.3
Random Forest,22,113918,114212.91
Random Forest,23,52957,57338.08
Random Forest,24,288995,281829.02
Random Forest,25,2832201,2758680.72
Random Forest,26,22260,23208.22
Random Forest,27,52793,52113.41
Random Forest,28,16230,16720.04
Random Forest,29,72950,71552.95
Random Forest,30,17491,16013.46
Random Forest,31,22027,21679.36
Random Forest,32,25755,25521.33
Random Forest,33,12370,14017.94
Random Forest,34,30790,26378.6
Random Forest,35,18470,18187.61
Random Forest,36,10931,11236.12
Random Forest,37,28056,28425.27
Random Forest,38,45750,44667.04
Random Forest,39,13708,13358.56
Random Forest,40,159736,160240.51
Random Forest,41,24140,24457.04
Random Forest,42,12864,12303.76
Random Forest,43,38702,38652.3
Random Forest,44,426998,418652.92
Random Forest,45,37357,37156.24
Random Forest,46,57726,57699.49
Random Forest,47,61903,58803.39
Random Forest,48,81475,81289.8
Random Forest,49,1059956,1149826.11
Random Forest,50,4271,4308.2
Random Forest,51,13355,13350.21
Random Forest,52,46433,46699.08
Random Forest,53,10063,9794.02
Random Forest,54,16918,16926.03
Random Forest,55,72480,74491.69
Random Forest,56,14986,14938.5
Random Forest,57,132745,137126.38
Random Forest,58,89031,89225.23
Random Forest,59,16729,16785.66
Random Forest,60,441584,467824.23
Random Forest,61,118294,117573.41
Random Forest,62,56916,55196.73
Random Forest,63,8937,8589.25
Random Forest,64,35043,35674.55
Random Forest,65,36532,34052.49
Random Forest,66,74139,73676.19
Random Forest,67,47125,49336.1
Random Forest,68,16559,16565.43
Random Forest,69,37950,38418.74
Random Forest,70,65293,65862.78
Random Forest,71,56319,57328.04
Random Forest,72,392701,398299.61
Random Forest,73,42144,41950.68
Random Forest,74,30538,31592.99
Random Forest,75,141490,125030.46
Random Forest,76,55399,55657.56
Random Forest,77,12787,12730.16
Random Forest,78,23568,24045.9
Random Forest,79,25326,25591.78
Random Forest,80,43915,42355.79
Random Forest,81,28862,27934.74
Random Forest,82,7884,7859.46
Random Forest,83,10654,10152.15
Random Forest,84,98574,97686.17
Random Forest,85,55798,56223.93
Random Forest,86,27843,26348.91
Random Forest,87,25252,26676.09
Random Forest,88,13466,12934.59
Random Forest,89,32606,32561.8
Random Forest,90,9018,8833.59
Random Forest,91,153960,152248.29
Random Forest,92,49103,50050.23
Random Forest,93,112864,117592.37
Random Forest,94,18633,18304.31
Random Forest,95,747112,738116.38
Random Forest,96,240885,236780.98
Random Forest,97,211566,192704.96
Random Forest,98,80203,79304.51
Random Forest,99,195769,181246.4
Bagging Regressor,0,55120,55687.5
Bagging Regressor,1,11426,11706.0
Bagging Regressor,2,78705,79075.7
Bagging Regressor,3,213236,217146.1
Bagging Regressor,4,33950,34133.8
Bagging Regressor,5,56950,56548.2
Bagging Regressor,6,281177,280625.6
Bagging Regressor,7,49999,50152.9
Bagging Regressor,8,24531,25931.4
Bagging Regressor,9,165349,163380.8
Bagging Regressor,10,35251,36480.2
Bagging Regressor,11,40555,37410.5
Bagging Regressor,12,20742,22101.4
Bagging Regressor,13,20872,21797.4
Bagging Regressor,14,38020,37247.9
Bagging Regressor,15,588702,591061.7
Bagging Regressor,16,8099,7929.2
Bagging Regressor,17,19492,19257.7
Bagging Regressor,18,140090,137910.2
Bagging Regressor,19,11849,12067.3
Bagging Regressor,20,19538,19635.6
Bagging Regressor,21,76804,75948.2
Bagging Regressor,22,113918,114660.9
Bagging Regressor,23,52957,56359.9
Bagging Regressor,24,288995,277981.5
Bagging Regressor,25,2832201,2785611.1
Bagging Regressor,26,22260,23520.6
Bagging Regressor,27,52793,51243.7
Bagging Regressor,28,16230,16961.9
Bagging Regressor,29,72950,71447.4
Bagging Regressor,30,17491,16115.3
Bagging Regressor,31,22027,21465.3
Bagging Regressor,32,25755,25477.2
Bagging Regressor,33,12370,13750.7
Bagging Regressor,34,30790,27404.9
Bagging Regressor,35,18470,18110.4
Bagging Regressor,36,10931,11189.6
Bagging Regressor,37,28056,28717.3
Bagging Regressor,38,45750,44552.7
Bagging Regressor,39,13708,13355.1
Bagging Regressor,40,159736,158772.4
Bagging Regressor,41,24140,24459.8
Bagging Regressor,42,12864,12284.8
Bagging Regressor,43,38702,38558.7
Bagging Regressor,44,426998,419079.8
Bagging Regressor,45,37357,37219.7
Bagging Regressor,46,57726,57497.8
Bagging Regressor,47,61903,56493.5
Bagging Regressor,48,81475,81636.2
Bagging Regressor,49,1059956,1148949.1
Bagging Regressor,50,4271,4354.4
Bagging Regressor,51,13355,13561.4
Bagging Regressor,52,46433,46403.1
Bagging Regressor,53,10063,9728.4
Bagging Regressor,54,16918,17009.0
Bagging Regressor,55,72480,74057.6
