Feature,Attribute,Count
year_of_reference,2022,290275
month_of_reference,November,24366
month_of_reference,December,24364
month_of_reference,October,24333
month_of_reference,September,24324
month_of_reference,August,24226
month_of_reference,March,24168
month_of_reference,July,24165
month_of_reference,June,24123
month_of_reference,February,24094
month_of_reference,May,24057
fipe_code,039001-1,443
fipe_code,067001-4,423
fipe_code,040002-5,386
fipe_code,035014-1,292
fipe_code,027024-5,282
fipe_code,005017-2,264
fipe_code,004141-6,264
fipe_code,028015-1,252
fipe_code,024101-6,249
fipe_code,001027-8,240
authentication,3r6c277cnqcb,2
authentication,gb76cyvp29j4,2
authentication,yh9pvzxm1z18,1
authentication,2jn0vw4k9jp,1
authentication,6ws0g0flgdfx,1
authentication,7vzyfwz4cqj4,1
authentication,9vpjbm03pfnc,1
authentication,v002c2tclc18,1
authentication,xtzj5l06w15h,1
authentication,vwmrywl5qs,1
brand,GM - Chevrolet,28179
brand,VW - VolksWagen,28142
brand,Fiat,26563
brand,Ford,24150
brand,Mercedes-Benz,17470
brand,Renault,15194
brand,Audi,12168
brand,Peugeot,11132
brand,Toyota,10309
brand,Mitsubishi,10182
model,Buggy/M-8/M-8 Long 1.6,443
model,Buggy Plus 1.6 8V,423
model,Buggy 1.6/ TST/ RS 1.6 4-Lug.,386
model,911 Turbo Coupe 3.6/3.8 (991/992),292
model,Forester 2.0/2.0 S/2.0 ES 4x4 Aut.,282
model,Santana 1.8 Mi,264
model,"Corvette 5.7/ 6.0, 6.2 Targa/Stingray",264
model,Jimny Wide/ Jimny/4ALL 1.3 16V,252
model,Partner Furgão 1.6 16V/ 1.6 16V Flex 3p,249
model,S-600 L/ L Classic/ Wagon Classic 6.0,240
fuel,Gasoline,238774
fuel,Diesel,47004
fuel,Alcohol,4489
gear,manual,210283
gear,automatic,79984
engine_size,2.0,51604
engine_size,1.6,47046
engine_size,1.8,26413
engine_size,1.0,23670
engine_size,3.0,18557
engine_size,2.5,13023
engine_size,1.4,12134
engine_size,1.5,11285
engine_size,2.8,10143
engine_size,2.2,8448
year_model,2015,12492
year_model,2012,12155
year_model,2014,12103
year_model,2016,11651
year_model,2023,11632
year_model,2013,11623
year_model,2018,11447
year_model,2017,11136
year_model,2011,11022
year_model,2019,10709
avg_price_brl,70120,24
avg_price_brl,20320,24
avg_price_brl,10521,24
avg_price_brl,19640,23
avg_price_brl,14521,23
avg_price_brl,26320,22
avg_price_brl,24854,22
avg_price_brl,30230,21
avg_price_brl,24120,21
avg_price_brl,60230,21
age_years,8.0,12492
age_years,11.0,12155
age_years,9.0,12103
age_years,7.0,11651
age_years,0.0,11632
age_years,10.0,11623
age_years,5.0,11447
age_years,6.0,11136
age_years,12.0,11022
age_years,4.0,10708
